姓名,拼音,笔划数,八字评分,五格评分,命主星宿,命宫,总分
周涵,zhōu hán,19,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周洳,zhōu rù,17,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周江,zhōu jiāng,14,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周汝,zhōu rǔ,14,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周汐,zhōu xī,14,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周汉,zhōu hàn,13,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周涟,zhōu lián,18,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周淞,zhōu sōng,19,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周渔,zhōu yú,19,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周沂,zhōu yí,15,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周沉,zhōu chén,15,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周浣,zhōu huàn,18,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周活,zhōu huó,17,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周兴,zhōu xīng,14,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周汶,zhōu wèn,15,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周倍,zhōu bèi,18,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周俸,zhōu fèng,18,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周洲,zhōu zhōu,17,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周洪,zhōu hóng,17,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周津,zhōu jīn,17,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周洛,zhōu luò,17,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周洋,zhōu yáng,17,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周泽,zhōu zé,16,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周池,zhōu chí,14,94.0,94.0,（参）宿,坎宫（东四命）,188.0
周丕,zhōu pī,13,92.0,92.0,（参）宿,坎宫（东四命）,184.0
周洁,zhōu jié,17,92.0,92.0,（参）宿,坎宫（东四命）,184.0
周润,zhōu rùn,18,92.0,92.0,（参）宿,坎宫（东四命）,184.0
周凝,zhōu níng,24,92.0,92.0,（参）宿,坎宫（东四命）,184.0
周冰,zhōu bīng,14,92.0,92.0,（参）宿,坎宫（东四命）,184.0
周付,zhōu fù,13,92.0,92.0,（参）宿,坎宫（东四命）,184.0
